ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-03,1433.221091291352,-1020.5585151178514,4532.755661814062,1433.221091291352,1433.221091291352,152.16082281691845,152.16082281691845,152.16082281691845,330.23484937070225,330.23484937070225,330.23484937070225,-178.0740265537838,-178.0740265537838,-178.0740265537838,0.0,0.0,0.0,1585.3819141082704
2015-01-04,1433.4024423332564,-1588.6903704549807,3897.9558111790866,1433.4024423332564,1433.4024423332564,-183.54816763672383,-183.54816763672383,-183.54816763672383,109.91027819048817,109.91027819048817,109.91027819048817,-293.458445827212,-293.458445827212,-293.458445827212,0.0,0.0,0.0,1249.8542746965327
2015-01-05,1433.5837933751607,-1852.7065217269976,3545.8415145637573,1433.5837933751607,1433.5837933751607,-406.3776505011872,-406.3776505011872,-406.3776505011872,-3.782575041235208,-3.782575041235208,-3.782575041235208,-402.595075459952,-402.595075459952,-402.595075459952,0.0,0.0,0.0,1027.2061428739735
2015-01-06,1433.765144417065,-1468.5331590454618,3940.465752464174,1433.765144417065,1433.765144417065,-146.92891423514936,-146.92891423514936,-146.92891423514936,357.0274733159904,357.0274733159904,357.0274733159904,-503.95638755113976,-503.95638755113976,-503.95638755113976,0.0,0.0,0.0,1286.8362301819157
2015-01-07,1433.9464954589691,-1818.0167190317384,3441.0137829898863,1433.9464954589691,1433.9464954589691,-678.7772159210402,-678.7772159210402,-678.7772159210402,-82.60149712555864,-82.60149712555864,-82.60149712555864,-596.1757187954817,-596.1757187954817,-596.1757187954817,0.0,0.0,0.0,755.1692795379289
2015-01-09,1434.3091975427778,-1895.8565186288936,3212.317634439433,1434.3091975427778,1434.3091975427778,-847.1543944548512,-847.1543944548512,-847.1543944548512,-98.4434558128616,-98.4434558128616,-98.4434558128616,-748.7109386419895,-748.7109386419895,-748.7109386419895,0.0,0.0,0.0,587.1548030879267
2015-01-10,1434.490548584682,-1676.9889771363387,3632.8410691018794,1434.490548584682,1434.490548584682,-477.1243369081005,-477.1243369081005,-477.1243369081005,330.23484937079763,330.23484937079763,330.23484937079763,-807.359186278898,-807.359186278898,-807.359186278898,0.0,0.0,0.0,957.3662116765815
2015-01-11,1434.6718996265863,-2163.5047320489994,3636.4490111861237,1434.6718996265863,1434.6718996265863,-743.6586054639026,-743.6586054639026,-743.6586054639026,109.91027819020489,109.91027819020489,109.91027819020489,-853.5688836541075,-853.5688836541075,-853.5688836541075,0.0,0.0,0.0,691.0132941626837
2015-01-13,1435.034601710395,-1789.7997758004592,3548.716807315525,1435.034601710395,1435.034601710395,-551.1747515308984,-551.1747515308984,-551.1747515308984,357.0274733159732,357.0274733159732,357.0274733159732,-908.2022248468718,-908.2022248468718,-908.2022248468718,0.0,0.0,0.0,883.8598501794966
2015-01-14,1435.2159527522995,-2180.5435636575608,3122.7090636024855,1435.2159527522995,1435.2159527522995,-999.6723621187019,-999.6723621187019,-999.6723621187019,-82.60149712577096,-82.60149712577096,-82.60149712577096,-917.0708649929309,-917.0708649929309,-917.0708649929309,0.0,0.0,0.0,435.54359063359755
2015-01-15,1435.3973037942035,-2762.8567338695552,2774.2001192132193,1435.3973037942035,1435.3973037942035,-1526.7249984897285,-1526.7249984897285,-1526.7249984897285,-612.3450728981641,-612.3450728981641,-612.3450728981641,-914.3799255915646,-914.3799255915646,-914.3799255915646,0.0,0.0,0.0,-91.327694695525
2015-01-16,1435.578654836108,-2264.1435761363764,3314.828946415594,1435.578654836108,1435.578654836108,-999.4396495332861,-999.4396495332861,-999.4396495332861,-98.44345581205667,-98.44345581205667,-98.44345581205667,-900.9961937212295,-900.9961937212295,-900.9961937212295,0.0,0.0,0.0,436.13900530282183
2015-01-18,1435.9413569199166,-2003.0535030185142,3458.106179776997,1435.9413569199166,1435.9413569199166,-736.8109095595627,-736.8109095595627,-736.8109095595627,109.91027819071363,109.91027819071363,109.91027819071363,-846.7211877502763,-846.7211877502763,-846.7211877502763,0.0,0.0,0.0,699.130447360354
2015-01-19,1436.1227079618209,-2261.37758558246,3409.2204319412244,1436.1227079618209,1436.1227079618209,-812.3657044255216,-812.3657044255216,-812.3657044255216,-3.782575041487942,-3.782575041487942,-3.782575041487942,-808.5831293840337,-808.5831293840337,-808.5831293840337,0.0,0.0,0.0,623.7570035362993
2015-01-20,1436.3040590037251,-1754.8236817889904,3678.6748346092077,1436.3040590037251,1436.3040590037251,-408.1646566950613,-408.1646566950613,-408.1646566950613,357.02747331619014,357.02747331619014,357.02747331619014,-765.1921300112515,-765.1921300112515,-765.1921300112515,0.0,0.0,0.0,1028.1394023086639
